zip_code,alder_district,bedrooms,pct_of_zip,pct_of_alder
53202,3,2830,0.518790,0.328802
53202,4,2625,0.481210,0.509511
53203,4,287,1.000000,0.055707
53204,12,5293,0.701803,0.660717
53204,8,2249,0.298197,0.282858
53205,15,1601,0.818926,0.159733
53205,4,311,0.159079,0.060365
53205,6,43,0.021995,0.003669
53206,1,23,0.002352,0.001886
53206,15,2910,0.297546,0.290332
53206,6,5173,0.528937,0.441382
53206,7,1674,0.171166,0.117284
53207,13,3153,0.227047,0.267000
53207,14,10707,0.771009,0.774523
53208,10,3904,0.501155,0.278221
53208,15,2694,0.345828,0.268782
53208,4,1192,0.153017,0.231366
53209,1,10197,0.887699,0.836231
53209,6,62,0.005397,0.005290
53209,7,1198,0.104292,0.083935
53209,9,30,0.002612,0.003292
53210,10,3998,0.477830,0.284920
53210,15,2818,0.336799,0.281153
53210,7,1551,0.185371,0.108667
53211,3,3068,1.000000,0.356454
53212,3,2709,0.296747,0.314744
53212,4,3,0.000329,0.000582
53212,6,6415,0.702706,0.547355
53213,10,1649,0.981548,0.117517
53213,5,31,0.018452,0.002475
53214,10,2083,1.000000,0.148446
53215,11,1539,0.107180,0.116441
53215,12,2713,0.188941,0.338659
53215,13,1300,0.090536,0.110086
53215,14,3109,0.216519,0.224899
53215,8,5698,0.396824,0.716639
53216,1,287,0.024866,0.023536
53216,10,1798,0.155779,0.128136
53216,2,1400,0.121296,0.132991
53216,7,8057,0.698059,0.564492
53217,6,27,1.000000,0.002304
53218,1,1675,0.147072,0.137363
53218,2,6681,0.586619,0.634654
53218,5,752,0.066029,0.060040
53218,7,1793,0.157433,0.125622
53218,9,488,0.042848,0.053556
53219,11,6254,1.000000,0.473178
53220,11,3142,0.999046,0.237724
53221,11,196,0.025960,0.014829
53221,13,7354,0.974040,0.622745
53222,10,61,0.007661,0.004347
53222,2,30,0.003768,0.002850
53222,5,7871,0.988571,0.628423
53223,1,12,0.002377,0.000984
53223,9,5036,0.997623,0.552678
53224,2,302,0.058414,0.028688
53224,5,1336,0.258414,0.106667
53224,9,3532,0.683172,0.387621
53225,2,2114,0.452386,0.200817
53225,5,2532,0.541836,0.202156
53225,9,26,0.005564,0.002853
53226,10,539,0.994465,0.038412
53226,5,3,0.005535,0.000240
53227,11,1063,1.000000,0.080427
53228,11,1023,1.000000,0.077400
53233,12,5,0.006729,0.000624
53233,4,734,0.987887,0.142469
53233,8,4,0.005384,0.000503
53235,14,8,1.000000,0.000579
